num_dealer,region_dealer,code_piece,libelle_piece,quantite_piece,prix_unitaire_ht,id_facture,date_facture,categorie_piece,taux_remise
2731,Occitanie,P8176,Suspension,10,961.82,F727927,2021-01-28,Électronique,30.83
3931,Île-de-France,P4651,Transmission,60,373.28,F385586,2019-09-08,Mécanique,3.2
1674,Provence-Alpes-Côte d'Azur,P5232,Moteur,34,208.93,F761026,2020-01-23,Carrosserie,36.84
7274,Île-de-France,P4428,Suspension,95,530.25,F171593,2019-03-06,Mécanique,34.96
3097,Nouvelle-Aquitaine,P2123,Électronique,29,112.05,F699652,2019-04-06,Accessoires,34.18
1863,Provence-Alpes-Côte d'Azur,P2920,Frein,3,115.27,F361954,2021-01-20,Accessoires,3.55
7879,Auvergne-Rhône-Alpes,P3225,Embrayage,100,77.99,F484709,2021-02-19,Accessoires,48.51
1445,Nouvelle-Aquitaine,P6973,Pneumatique,65,295.8,F805149,2020-06-10,Accessoires,10.44
2616,Nouvelle-Aquitaine,P4326,Suspension,92,403.3,F856869,2020-11-07,Mécanique,7.5
6159,Nouvelle-Aquitaine,P6789,Électronique,2,521.38,F854417,2020-09-26,Accessoires,38.97
6274,Occitanie,P6026,Pneumatique,77,176.27,F436809,2019-06-08,Accessoires,6.81
1555,Nouvelle-Aquitaine,P3900,Transmission,69,747.38,F723873,2020-03-31,Accessoires,11.62
8251,Provence-Alpes-Côte d'Azur,P4597,Électronique,4,326.74,F858012,2020-09-29,Carrosserie,5.39
6632,Île-de-France,P9190,Frein,29,853.84,F118965,2021-02-25,Électronique,24.92
4744,Nouvelle-Aquitaine,P2116,Transmission,67,135.99,F731239,2019-10-17,Mécanique,23.6
9880,Provence-Alpes-Côte d'Azur,P9597,Moteur,84,92.09,F114355,2020-05-06,Accessoires,45.68
5831,Provence-Alpes-Côte d'Azur,P6539,Moteur,38,504.19,F837084,2020-11-12,Mécanique,25.15
2674,Auvergne-Rhône-Alpes,P4987,Pneumatique,37,550.52,F100336,2020-09-25,Carrosserie,32.97
9610,Occitanie,P4609,Moteur,29,955.61,F459771,2021-07-27,Carrosserie,23.91
9722,Provence-Alpes-Côte d'Azur,P4180,Électronique,13,504.77,F111487,2020-10-10,Carrosserie,16.4
7665,Provence-Alpes-Côte d'Azur,P7990,Suspension,21,477.72,F717878,2019-12-18,Mécanique,40.61
1930,Île-de-France,P2619,Suspension,99,977.98,F147776,2019-12-08,Mécanique,29.9
9748,Île-de-France,P3547,Suspension,92,592.03,F138916,2019-09-18,Accessoires,47.6
2293,Nouvelle-Aquitaine,P3826,Électronique,82,590.08,F313568,2021-11-12,Accessoires,6.23
2093,Occitanie,P6107,Suspension,16,813.09,F127065,2020-01-07,Accessoires,14.68
6438,Occitanie,P7468,Transmission,100,441.44,F406624,2020-08-06,Carrosserie,15.79
5959,Provence-Alpes-Côte d'Azur,P3433,Moteur,58,580.47,F539699,2019-03-25,Accessoires,23.96
8682,Provence-Alpes-Côte d'Azur,P7852,Électronique,2,56.71,F909165,2020-11-30,Mécanique,49.84
3592,Nouvelle-Aquitaine,P7542,Embrayage,68,815.89,F789660,2021-06-02,Carrosserie,4.76
8755,Occitanie,P7988,Frein,64,817.41,F842918,2021-04-21,Mécanique,40.9
1365,Occitanie,P1142,Pneumatique,11,565.15,F431293,2020-03-07,Carrosserie,16.32
3672,Provence-Alpes-Côte d'Azur,P3360,Moteur,31,965.5,F726178,2021-10-20,Accessoires,23.94
6926,Occitanie,P4105,Suspension,49,734.66,F946566,2021-11-16,Carrosserie,3.18
7466,Provence-Alpes-Côte d'Azur,P1704,Embrayage,96,704.1,F554534,2020-11-19,Carrosserie,16.43
3150,Auvergne-Rhône-Alpes,P6138,Frein,54,266.68,F311649,2021-10-02,Électronique,28.77
5342,Occitanie,P2028,Transmission,72,878.28,F530132,2020-05-16,Accessoires,0.31
3567,Occitanie,P8765,Suspension,100,791.08,F392894,2020-01-16,Carrosserie,47.77
1277,Île-de-France,P8405,Électronique,82,174.18,F444166,2021-01-14,Carrosserie,13.51
2469,Auvergne-Rhône-Alpes,P3911,Suspension,81,429.84,F515453,2020-01-08,Carrosserie,11.74
2112,Auvergne-Rhône-Alpes,P2934,Pneumatique,22,398.32,F276078,2019-01-07,Mécanique,17.99
6562,Île-de-France,P4800,Moteur,55,89.27,F777177,2019-12-02,Accessoires,32.22
5524,Auvergne-Rhône-Alpes,P3298,Moteur,66,593.14,F609239,2020-05-26,Électronique,16.19
4385,Nouvelle-Aquitaine,P1787,Pneumatique,48,443.78,F718562,2021-12-31,Mécanique,14.04
7901,Occitanie,P9127,Électronique,65,453.36,F652571,2019-08-14,Accessoires,0.38
7513,Île-de-France,P4060,Frein,37,893.67,F312934,2020-06-24,Électronique,43.92
8515,Île-de-France,P3549,Frein,66,147.18,F936160,2021-04-10,Mécanique,17.28
9700,Île-de-France,P9140,Embrayage,81,849.71,F258344,2019-02-01,Mécanique,21.87
3959,Auvergne-Rhône-Alpes,P6035,Suspension,24,357.73,F256941,2020-04-22,Électronique,45.54
6766,Auvergne-Rhône-Alpes,P3987,Pneumatique,63,103.91,F459002,2019-02-09,Carrosserie,34.23
1718,Occitanie,P5691,Embrayage,13,254.09,F266163,2020-01-15,Électronique,27.37
4446,Île-de-France,P5837,Embrayage,49,955.15,F492871,2021-12-30,Accessoires,0.33
9830,Occitanie,P1620,Électronique,25,916.18,F102091,2021-11-15,Mécanique,13.58
8559,Occitanie,P4564,Suspension,86,61.79,F270971,2020-09-05,Électronique,35.22
8225,Nouvelle-Aquitaine,P7984,Transmission,34,80.47,F593196,2021-07-28,Électronique,33.57
4373,Auvergne-Rhône-Alpes,P1937,Transmission,50,160.79,F357393,2020-03-10,Carrosserie,1.83
1930,Provence-Alpes-Côte d'Azur,P8315,Électronique,11,959.04,F260925,2019-05-25,Accessoires,31.86
8002,Occitanie,P9671,Suspension,10,212.33,F407618,2020-04-30,Accessoires,31.2
9474,Occitanie,P9224,Électronique,82,800.46,F392290,2020-08-05,Carrosserie,24.38
6069,Île-de-France,P8266,Suspension,83,368.54,F638390,2019-08-06,Carrosserie,20.98
3861,Île-de-France,P3551,Suspension,49,633.66,F609667,2019-06-10,Carrosserie,40.79
9778,Île-de-France,P8156,Transmission,93,679.15,F551765,2021-12-30,Mécanique,29.83
5730,Occitanie,P1639,Électronique,61,863.74,F651266,2021-10-23,Accessoires,42.68
5036,Nouvelle-Aquitaine,P2851,Électronique,87,148.56,F535949,2020-04-06,Mécanique,5.8
9407,Île-de-France,P2207,Pneumatique,44,220.08,F466547,2019-11-13,Accessoires,1.1
5348,Auvergne-Rhône-Alpes,P3818,Moteur,74,634.71,F110177,2020-11-09,Accessoires,22.48
3406,Île-de-France,P2847,Frein,41,352.48,F645457,2021-02-26,Mécanique,5.61
9426,Île-de-France,P4655,Moteur,95,191.22,F733893,2021-02-07,Accessoires,13.6
1691,Provence-Alpes-Côte d'Azur,P9081,Pneumatique,14,590.59,F192300,2021-04-30,Carrosserie,44.28
5335,Occitanie,P2940,Embrayage,77,250.87,F764719,2020-07-12,Électronique,8.18
3944,Occitanie,P8226,Frein,43,789.14,F198699,2019-05-26,Mécanique,17.06
1286,Nouvelle-Aquitaine,P7687,Suspension,56,294.73,F948965,2019-05-03,Carrosserie,37.14
6300,Provence-Alpes-Côte d'Azur,P4789,Suspension,90,904.76,F556114,2019-12-20,Mécanique,21.35
3027,Occitanie,P8820,Transmission,10,505.11,F449059,2020-08-11,Accessoires,2.32
3143,Provence-Alpes-Côte d'Azur,P2059,Moteur,14,113.86,F727001,2020-11-12,Mécanique,21.73
8818,Occitanie,P3538,Embrayage,27,142.55,F532453,2021-02-15,Électronique,9.65
5299,Occitanie,P3480,Transmission,87,631.04,F707325,2019-03-08,Mécanique,38.93
9188,Auvergne-Rhône-Alpes,P4345,Frein,77,68.04,F179652,2020-04-29,Mécanique,17.75
8105,Île-de-France,P9501,Pneumatique,91,475.04,F122576,2019-07-18,Carrosserie,25.08
9387,Île-de-France,P3593,Suspension,44,391.55,F832332,2019-08-16,Carrosserie,5.63
4385,Occitanie,P9360,Embrayage,43,756.61,F840222,2021-02-05,Carrosserie,47.29
8040,Île-de-France,P4154,Suspension,77,905.69,F481634,2019-02-15,Mécanique,21.39
8240,Provence-Alpes-Côte d'Azur,P9818,Frein,69,179.86,F825891,2021-07-24,Carrosserie,22.52
8650,Provence-Alpes-Côte d'Azur,P6982,Transmission,62,80.14,F188387,2021-06-09,Mécanique,2.15
6591,Provence-Alpes-Côte d'Azur,P9402,Électronique,88,764.81,F227049,2021-05-02,Mécanique,37.73
8065,Auvergne-Rhône-Alpes,P1073,Embrayage,37,878.48,F884920,2019-02-05,Accessoires,1.81
4466,Occitanie,P6817,Pneumatique,51,498.62,F521710,2020-12-23,Carrosserie,33.7
9846,Occitanie,P2971,Moteur,13,139.57,F809083,2021-09-19,Accessoires,10.3
1169,Provence-Alpes-Côte d'Azur,P8006,Suspension,54,426.4,F377999,2020-09-19,Accessoires,18.52
2954,Île-de-France,P4689,Moteur,49,248.67,F679107,2021-03-21,Mécanique,5.68
5657,Provence-Alpes-Côte d'Azur,P2653,Frein,75,610.86,F452579,2020-07-21,Accessoires,26.79
2240,Nouvelle-Aquitaine,P4394,Pneumatique,84,333.98,F969542,2021-03-15,Électronique,10.26
9689,Auvergne-Rhône-Alpes,P2692,Suspension,84,871.28,F979580,2021-04-19,Mécanique,35.39
2916,Nouvelle-Aquitaine,P7098,Transmission,22,539.39,F205987,2020-11-08,Électronique,30.17
5924,Provence-Alpes-Côte d'Azur,P2778,Pneumatique,18,309.04,F579932,2020-06-23,Accessoires,33.04
9594,Auvergne-Rhône-Alpes,P1466,Pneumatique,3,597.9,F625821,2019-08-30,Accessoires,33.76
8415,Auvergne-Rhône-Alpes,P3526,Électronique,89,544.51,F228658,2019-06-12,Carrosserie,16.62
9146,Provence-Alpes-Côte d'Azur,P8592,Embrayage,98,421.02,F955635,2019-07-29,Carrosserie,15.25
4503,Île-de-France,P3719,Pneumatique,68,901.18,F779655,2019-06-26,Mécanique,11.7
7546,Occitanie,P6103,Électronique,27,863.17,F755718,2019-10-09,Électronique,39.01
4380,Provence-Alpes-Côte d'Azur,P4688,Transmission,20,820.0,F476530,2019-05-27,Accessoires,20.1
1125,Auvergne-Rhône-Alpes,P5571,Électronique,56,576.83,F534252,2021-05-31,Carrosserie,46.97
1604,Auvergne-Rhône-Alpes,P3802,Électronique,31,733.14,F792887,2021-08-09,Électronique,47.09
8396,Provence-Alpes-Côte d'Azur,P2296,Embrayage,6,334.92,F577482,2019-10-21,Accessoires,15.75
2488,Occitanie,P8115,Pneumatique,22,827.76,F885625,2021-10-08,Mécanique,6.28
8662,Provence-Alpes-Côte d'Azur,P4546,Pneumatique,96,417.83,F481312,2021-06-01,Mécanique,31.56
9475,Nouvelle-Aquitaine,P4821,Moteur,46,336.75,F728478,2020-06-15,Mécanique,18.45
4502,Provence-Alpes-Côte d'Azur,P8233,Transmission,13,706.24,F843312,2020-08-14,Électronique,40.01
5588,Occitanie,P9184,Suspension,56,699.11,F143194,2020-10-09,Mécanique,45.16
8857,Auvergne-Rhône-Alpes,P9816,Moteur,80,489.5,F687223,2020-01-19,Mécanique,25.62
3259,Occitanie,P1274,Électronique,42,479.8,F684310,2019-05-31,Accessoires,0.47
4167,Auvergne-Rhône-Alpes,P2338,Frein,32,214.77,F744521,2021-10-05,Accessoires,31.02
4266,Nouvelle-Aquitaine,P8296,Électronique,56,776.15,F790824,2021-10-24,Mécanique,15.43
4806,Auvergne-Rhône-Alpes,P5210,Suspension,70,529.48,F875029,2021-03-19,Électronique,9.75
8900,Île-de-France,P7046,Électronique,96,472.26,F301931,2020-07-05,Mécanique,23.89
2136,Provence-Alpes-Côte d'Azur,P9303,Pneumatique,35,653.49,F336596,2019-04-02,Accessoires,14.22
3776,Occitanie,P6675,Pneumatique,31,283.16,F984977,2019-05-22,Accessoires,6.15
2117,Auvergne-Rhône-Alpes,P8772,Frein,43,996.55,F939831,2019-07-06,Accessoires,44.57
3605,Occitanie,P5622,Moteur,63,387.64,F379777,2020-06-21,Électronique,41.18
4037,Occitanie,P7912,Transmission,15,923.3,F959605,2019-04-18,Carrosserie,34.28
9011,Provence-Alpes-Côte d'Azur,P1416,Transmission,99,320.62,F366874,2021-02-02,Électronique,33.03
7074,Île-de-France,P7968,Transmission,15,751.04,F237491,2019-10-26,Électronique,45.41
7695,Nouvelle-Aquitaine,P7629,Pneumatique,18,778.38,F708876,2019-01-17,Carrosserie,27.15
8598,Île-de-France,P3441,Moteur,22,304.48,F428117,2021-08-16,Mécanique,31.76
3080,Auvergne-Rhône-Alpes,P6570,Suspension,22,605.7,F134001,2019-11-07,Électronique,1.0
9033,Auvergne-Rhône-Alpes,P9756,Électronique,91,418.93,F201449,2020-01-01,Mécanique,16.63
6095,Nouvelle-Aquitaine,P8959,Frein,1,355.99,F986289,2021-01-11,Accessoires,37.29
8671,Provence-Alpes-Côte d'Azur,P1652,Frein,14,559.0,F867144,2019-08-27,Électronique,49.1
8170,Nouvelle-Aquitaine,P8355,Suspension,83,244.01,F988119,2019-11-04,Accessoires,25.09
1891,Nouvelle-Aquitaine,P2713,Moteur,51,939.43,F644586,2019-09-29,Mécanique,38.82
3606,Provence-Alpes-Côte d'Azur,P1430,Électronique,79,732.1,F945979,2020-04-06,Carrosserie,22.03
3993,Provence-Alpes-Côte d'Azur,P9809,Moteur,53,407.13,F769829,2021-07-07,Mécanique,46.91
4766,Provence-Alpes-Côte d'Azur,P2989,Transmission,31,719.73,F902727,2020-09-08,Mécanique,7.49
6227,Occitanie,P8175,Électronique,88,269.74,F167619,2020-02-12,Accessoires,35.0
5142,Auvergne-Rhône-Alpes,P4109,Suspension,47,306.32,F935390,2019-04-21,Accessoires,36.29
8429,Provence-Alpes-Côte d'Azur,P9472,Moteur,91,494.35,F875985,2020-02-03,Électronique,36.56
6222,Nouvelle-Aquitaine,P3854,Pneumatique,53,221.59,F543991,2019-04-24,Électronique,23.01
7593,Île-de-France,P9879,Transmission,12,521.17,F386625,2019-11-26,Accessoires,45.05
4667,Auvergne-Rhône-Alpes,P7052,Pneumatique,2,203.32,F727323,2021-03-21,Accessoires,47.2
1516,Île-de-France,P7481,Embrayage,67,859.78,F378774,2021-05-04,Accessoires,9.56
5997,Auvergne-Rhône-Alpes,P7434,Transmission,30,805.25,F676543,2020-08-14,Carrosserie,16.79
7711,Provence-Alpes-Côte d'Azur,P1029,Embrayage,79,700.94,F665126,2021-03-06,Électronique,41.63
8123,Auvergne-Rhône-Alpes,P4094,Suspension,77,401.12,F129273,2020-07-16,Électronique,42.16
6563,Nouvelle-Aquitaine,P9779,Moteur,85,328.21,F687314,2021-11-02,Accessoires,38.16
8806,Île-de-France,P7599,Pneumatique,2,838.14,F313369,2020-09-01,Accessoires,49.73
5975,Nouvelle-Aquitaine,P9323,Embrayage,97,153.05,F773920,2021-04-23,Accessoires,20.93
1685,Provence-Alpes-Côte d'Azur,P2285,Électronique,25,111.5,F922503,2020-10-20,Carrosserie,1.3
3046,Nouvelle-Aquitaine,P1695,Électronique,33,628.39,F795779,2020-05-02,Mécanique,31.53
8747,Nouvelle-Aquitaine,P8282,Frein,48,976.34,F447056,2020-11-08,Carrosserie,11.85
6977,Auvergne-Rhône-Alpes,P1386,Moteur,69,793.19,F225331,2021-03-20,Carrosserie,34.79
8616,Nouvelle-Aquitaine,P5543,Électronique,80,438.32,F290505,2021-10-04,Accessoires,0.09
1880,Auvergne-Rhône-Alpes,P9729,Embrayage,77,71.78,F463298,2019-07-02,Mécanique,23.19
5053,Auvergne-Rhône-Alpes,P3531,Pneumatique,48,756.25,F304173,2021-06-29,Carrosserie,11.3
4783,Auvergne-Rhône-Alpes,P7574,Électronique,18,619.75,F688609,2020-03-01,Carrosserie,13.43
2917,Nouvelle-Aquitaine,P9912,Transmission,94,421.45,F249322,2019-06-14,Mécanique,42.35
7493,Provence-Alpes-Côte d'Azur,P7845,Moteur,68,815.41,F892770,2019-05-10,Mécanique,1.27
8816,Nouvelle-Aquitaine,P3825,Électronique,6,325.03,F944003,2021-03-10,Accessoires,27.86
5480,Provence-Alpes-Côte d'Azur,P8711,Moteur,97,605.05,F754155,2020-02-06,Électronique,20.98
9759,Auvergne-Rhône-Alpes,P4063,Suspension,85,607.14,F699190,2019-09-14,Électronique,0.82
1383,Auvergne-Rhône-Alpes,P2536,Moteur,24,415.42,F834348,2021-12-01,Accessoires,21.73
9691,Occitanie,P3734,Moteur,98,95.57,F376554,2021-01-02,Accessoires,48.23
1932,Auvergne-Rhône-Alpes,P1542,Pneumatique,58,441.47,F664407,2021-02-16,Mécanique,23.46
7839,Occitanie,P2581,Moteur,84,534.55,F916001,2020-12-04,Carrosserie,43.26
6543,Occitanie,P2104,Suspension,68,660.09,F620019,2021-08-20,Électronique,47.84
4730,Provence-Alpes-Côte d'Azur,P7565,Frein,64,814.63,F618778,2021-03-07,Électronique,16.3
3630,Auvergne-Rhône-Alpes,P2473,Moteur,24,212.15,F568370,2019-08-21,Accessoires,48.53
7506,Île-de-France,P2221,Embrayage,25,994.76,F238479,2019-01-20,Mécanique,44.1
3198,Provence-Alpes-Côte d'Azur,P2354,Frein,56,476.22,F877852,2021-10-23,Électronique,40.26
9266,Île-de-France,P3863,Suspension,99,378.31,F502630,2021-02-14,Accessoires,29.84
1483,Provence-Alpes-Côte d'Azur,P2105,Moteur,72,262.42,F175862,2020-01-25,Électronique,30.61
7399,Auvergne-Rhône-Alpes,P4043,Électronique,82,364.25,F166268,2019-02-21,Accessoires,22.61
1409,Nouvelle-Aquitaine,P8573,Embrayage,66,100.4,F623879,2021-12-25,Accessoires,38.2
6172,Provence-Alpes-Côte d'Azur,P6444,Pneumatique,100,373.65,F698492,2020-06-20,Accessoires,39.0
1616,Provence-Alpes-Côte d'Azur,P1895,Embrayage,75,89.78,F164716,2020-11-07,Mécanique,16.86
9056,Nouvelle-Aquitaine,P7491,Frein,38,352.86,F692637,2020-12-23,Carrosserie,25.18
7598,Auvergne-Rhône-Alpes,P3021,Pneumatique,96,693.23,F850726,2019-12-19,Électronique,10.22
6882,Auvergne-Rhône-Alpes,P5298,Suspension,22,567.89,F146299,2021-06-21,Carrosserie,0.67
5928,Nouvelle-Aquitaine,P7118,Transmission,14,453.94,F635862,2021-03-09,Accessoires,48.91
2519,Auvergne-Rhône-Alpes,P6819,Pneumatique,90,58.46,F407553,2021-03-20,Carrosserie,3.09
4399,Occitanie,P3930,Transmission,80,191.65,F862641,2020-01-17,Carrosserie,30.39
4112,Auvergne-Rhône-Alpes,P4621,Pneumatique,20,608.28,F700363,2019-08-19,Carrosserie,34.91
2845,Nouvelle-Aquitaine,P3356,Pneumatique,71,920.98,F922070,2021-08-16,Carrosserie,25.38
4786,Auvergne-Rhône-Alpes,P4427,Suspension,98,565.3,F716856,2019-01-14,Carrosserie,30.79
3305,Île-de-France,P6563,Suspension,75,985.23,F609134,2020-07-04,Accessoires,3.75
6336,Nouvelle-Aquitaine,P6968,Électronique,22,189.24,F421215,2019-06-17,Mécanique,44.48
5690,Occitanie,P3074,Électronique,24,785.76,F823188,2021-08-27,Accessoires,22.8
1963,Occitanie,P3779,Embrayage,43,295.52,F982515,2019-08-04,Électronique,20.34
8941,Auvergne-Rhône-Alpes,P4544,Embrayage,38,701.32,F810273,2019-05-03,Carrosserie,14.64
6621,Provence-Alpes-Côte d'Azur,P5768,Pneumatique,2,92.81,F353526,2020-03-06,Électronique,31.53
1356,Île-de-France,P7318,Pneumatique,25,432.27,F598097,2020-11-05,Accessoires,46.9
8042,Nouvelle-Aquitaine,P2477,Suspension,90,483.05,F930162,2020-10-03,Électronique,13.82
2501,Île-de-France,P1554,Frein,81,775.03,F731209,2019-08-11,Carrosserie,36.88
4545,Provence-Alpes-Côte d'Azur,P9956,Pneumatique,7,377.82,F196183,2019-11-25,Accessoires,49.97
7838,Occitanie,P3427,Frein,30,427.0,F929060,2021-05-30,Carrosserie,29.73
7755,Provence-Alpes-Côte d'Azur,P5828,Électronique,88,567.86,F551256,2021-02-04,Accessoires,26.85
4049,Auvergne-Rhône-Alpes,P1417,Pneumatique,45,553.32,F990881,2021-05-13,Mécanique,6.16
2125,Île-de-France,P1114,Moteur,15,255.7,F213362,2019-09-11,Accessoires,14.25
5953,Occitanie,P1436,Suspension,85,109.81,F532587,2021-04-06,Électronique,26.66
2256,Île-de-France,P9538,Pneumatique,100,521.25,F395026,2020-05-03,Électronique,9.74
8025,Provence-Alpes-Côte d'Azur,P8164,Transmission,31,206.5,F768008,2019-01-19,Accessoires,23.54
4501,Occitanie,P5414,Électronique,17,958.35,F959393,2019-11-19,Mécanique,48.04
8805,Occitanie,P2308,Moteur,5,602.8,F973741,2021-06-12,Carrosserie,22.22
8609,Île-de-France,P3076,Frein,88,375.83,F670396,2019-03-16,Carrosserie,21.28
2537,Occitanie,P3815,Frein,18,591.54,F412753,2020-05-27,Accessoires,8.89
1157,Nouvelle-Aquitaine,P9904,Frein,35,69.46,F249909,2020-11-30,Mécanique,39.49
6123,Île-de-France,P4890,Frein,91,615.07,F657057,2021-03-25,Électronique,42.11
9576,Auvergne-Rhône-Alpes,P4004,Moteur,59,835.82,F434533,2019-02-07,Accessoires,40.34
8258,Occitanie,P3000,Transmission,79,628.94,F907922,2019-11-28,Accessoires,41.24
4892,Auvergne-Rhône-Alpes,P2332,Électronique,18,411.83,F549743,2021-06-03,Mécanique,10.03
2447,Île-de-France,P7032,Frein,97,602.31,F960330,2019-05-23,Accessoires,9.26
7070,Provence-Alpes-Côte d'Azur,P3604,Embrayage,28,424.11,F903278,2019-04-14,Électronique,34.87
4639,Nouvelle-Aquitaine,P2600,Frein,20,908.56,F799692,2019-04-07,Électronique,11.61
4600,Provence-Alpes-Côte d'Azur,P6536,Suspension,89,425.74,F342237,2020-12-22,Accessoires,48.62
9132,Île-de-France,P1486,Frein,51,432.41,F862449,2019-05-09,Électronique,25.09
6983,Provence-Alpes-Côte d'Azur,P6275,Suspension,85,756.75,F241002,2020-06-24,Accessoires,38.95
1213,Île-de-France,P3965,Électronique,67,135.38,F271657,2019-08-17,Carrosserie,32.24
7261,Nouvelle-Aquitaine,P7515,Transmission,73,486.19,F923652,2019-01-17,Électronique,23.98
5664,Nouvelle-Aquitaine,P8381,Pneumatique,16,98.22,F956675,2021-12-10,Carrosserie,15.82
6695,Auvergne-Rhône-Alpes,P7868,Frein,92,560.47,F467730,2020-10-22,Accessoires,20.78
1228,Provence-Alpes-Côte d'Azur,P6501,Moteur,89,755.85,F270903,2020-11-25,Mécanique,26.24
9595,Auvergne-Rhône-Alpes,P8868,Embrayage,22,441.6,F696437,2021-04-13,Électronique,35.83
5898,Auvergne-Rhône-Alpes,P4546,Suspension,10,216.68,F252510,2021-05-09,Accessoires,14.89
8362,Auvergne-Rhône-Alpes,P7243,Pneumatique,39,720.17,F313810,2020-11-04,Accessoires,28.47
3369,Provence-Alpes-Côte d'Azur,P8488,Embrayage,23,476.36,F834901,2021-01-25,Accessoires,14.34
6605,Île-de-France,P3094,Embrayage,79,532.69,F768091,2021-12-06,Mécanique,3.74
9975,Île-de-France,P5906,Frein,99,957.37,F694277,2019-01-22,Mécanique,1.51
6350,Occitanie,P3127,Embrayage,32,54.98,F989411,2020-07-01,Carrosserie,15.72
3466,Nouvelle-Aquitaine,P5285,Embrayage,6,457.03,F520450,2021-08-14,Électronique,11.94
6518,Provence-Alpes-Côte d'Azur,P2960,Transmission,39,683.92,F219102,2020-03-25,Mécanique,37.63
8294,Auvergne-Rhône-Alpes,P6382,Suspension,19,672.81,F305546,2020-02-24,Carrosserie,0.93
9852,Auvergne-Rhône-Alpes,P1195,Transmission,33,824.9,F613263,2019-05-21,Carrosserie,40.37
1019,Île-de-France,P6752,Moteur,87,624.68,F529679,2021-08-11,Carrosserie,24.71
7376,Provence-Alpes-Côte d'Azur,P3883,Frein,27,802.61,F890173,2019-11-21,Électronique,41.96
4752,Nouvelle-Aquitaine,P2058,Électronique,16,266.78,F211520,2020-04-26,Électronique,39.96
4213,Provence-Alpes-Côte d'Azur,P1612,Pneumatique,20,586.95,F121726,2020-12-08,Carrosserie,16.17
6146,Provence-Alpes-Côte d'Azur,P5306,Transmission,33,446.51,F966440,2019-05-13,Électronique,14.8
7260,Occitanie,P7705,Moteur,24,356.36,F771202,2020-02-26,Mécanique,48.0
8149,Nouvelle-Aquitaine,P5414,Électronique,23,388.56,F606015,2020-02-05,Carrosserie,3.07
9096,Provence-Alpes-Côte d'Azur,P3104,Embrayage,20,565.06,F732146,2019-02-15,Mécanique,48.56
1770,Nouvelle-Aquitaine,P3848,Électronique,2,246.55,F195340,2019-12-11,Électronique,46.02
9480,Occitanie,P1977,Embrayage,39,194.78,F176372,2020-03-30,Mécanique,28.69
8844,Occitanie,P8058,Embrayage,26,194.98,F519051,2021-10-23,Accessoires,22.06
8811,Provence-Alpes-Côte d'Azur,P3712,Transmission,52,191.53,F723499,2021-12-26,Électronique,7.48
9556,Auvergne-Rhône-Alpes,P8700,Pneumatique,18,438.34,F321565,2020-04-03,Mécanique,18.65
8399,Provence-Alpes-Côte d'Azur,P8963,Frein,21,630.03,F498527,2019-10-14,Accessoires,42.54
5488,Provence-Alpes-Côte d'Azur,P5518,Électronique,13,405.47,F534882,2019-12-01,Électronique,22.58
2016,Occitanie,P2234,Embrayage,9,364.58,F364404,2019-09-30,Mécanique,7.92
4323,Occitanie,P9979,Moteur,37,61.49,F162659,2020-01-11,Électronique,47.73
